name,category,location,date,price,contact
Noa kirel,concert,tel-aviv,1.1.23,852,Dani:0512345678
one republic,concert,tel-aviv,1.2.23,935,Dani:0512345679
Aviv Gefen,concert,tel-aviv,1.3.23,985,Dani:0512345680
Atar Mayner,concert,Beer-Sheva,21.11.22,416,Dani:0512345681
Eden Hasson,concert,Beer-Sheva,11.12.22,572,Dani:0512345682
Htikva 6,concert,Beer-Sheva,1.3.22,967,Dani:0512345683
Ran Danker,concert,Beer-Sheva,1.1.23,569,Dani:0512345684
Ninet,concert,Jerusalem,1.2.23,368,Dani:0512345685
Eden Hasson,concert,Jerusalem,1.3.23,965,Dani:0512345686
Htikva 6,concert,Jerusalem,1.1.23,460,Dani:0512345687
Ran Danker,concert,Jerusalem,1.2.22,892,Dani:0512345688
Eden Hasson,concert,Haifa,16.3.23,965,Dani:0512345689
Atar Mayner,concert,Haifa,1.11.22,169,Dani:0512345690
Aviv Gefen,concert,Haifa,1.2.23,624,Dani:0512345691
Ran Danker,concert,Haifa,1.12.22,593,Dani:0512345692
Ninet,concert,Haifa,1.10.23,995,Dani:0512345693
Adir miler,stand-up,tel-aviv,1.1.23,589,Dani:0512345694
Uri Hezkia,stand-up,tel-aviv,1.2.23,262,Dani:0512345695
Uri Hezkia,stand-up,tel-aviv,1.3.23,901,Dani:0512345696
Udi Kagan,stand-up,Beer-Sheva,21.11.22,376,Dani:0512345697
Adir miler,stand-up,Beer-Sheva,11.12.22,287,Dani:0512345698
Uri Hezkia,stand-up,Jerusalem,1.2.23,330,Dani:0512345699
Uri Hezkia,stand-up,Jerusalem,1.3.23,890,Dani:0512345700
Udi Kagan,stand-up,Haifa,16.3.23,169,Dani:0512345701
Ma Kashur,stand-up,Haifa,1.11.22,223,Dani:0512345702
Efes Be Yahasey Enosh,show,tel-aviv,1.1.23,981,Dani:0512345703
Efes Be Yahasey Enosh,show,tel-aviv,1.2.23,570,Dani:0512345704
Efes Be Yahasey Enosh,show,tel-aviv,1.3.23,921,Dani:0512345705
Efes Be Yahasey Enosh,show,Beer-Sheva,21.11.22,227,Dani:0512345706
Efes Be Yahasey Enosh,show,Haifa,16.3.23,971,Dani:0512345707
Efes Be Yahasey Enosh,show,Haifa,1.11.22,596,Dani:0512345708
Efes Be Yahasey Enosh,show,Jerusalem,1.2.23,329,Dani:0512345709
